Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,timeframe,data_source
2025-04-21 09:30:00-04:00,1862.7127685546875,1863.1104736328125,1862.7127685546875,1862.862060546875,0,0.0,0.0,^RUT,1min,yfinance
2025-04-21 09:31:00-04:00,1862.905029296875,1863.2052001953125,1862.905029296875,1863.1842041015625,0,0.0,0.0,^RUT,1min,yfinance
2025-04-21 09:32:00-04:00,1863.051025390625,1863.051025390625,1862.088134765625,1862.203125,0,0.0,0.0,^RUT,1min,yfinance
2025-04-21 09:33:00-04:00,1862.082763671875,1862.082763671875,1861.285888671875,1861.285888671875,0,0.0,0.0,^RUT,1min,yfinance
2025-04-21 09:34:00-04:00,1861.1224365234375,1861.1224365234375,1859.087646484375,1859.087646484375,0,0.0,0.0,^RUT,1min,yfinance
2025-04-21 09:35:00-04:00,1859.12109375,1859.8204345703125,1859.12109375,1859.3251953125,0,0.0,0.0,^RUT,1min,yfinance
2025-04-21 09:36:00-04:00,1859.1824951171875,1859.1824951171875,1858.3883056640625,1858.3883056640625,0,0.0,0.0,^RUT,1min,yfinance
2025-04-21 09:37:00-04:00,1858.244384765625,1858.244384765625,1857.517578125,1858.228271484375,0,0.0,0.0,^RUT,1min,yfinance
2025-04-21 09:38:00-04:00,1858.4739990234375,1858.640380859375,1858.4739990234375,1858.566162109375,0,0.0,0.0,^RUT,1min,yfinance
2025-04-21 09:39:00-04:00,1858.566162109375,1859.056640625,1858.5059814453125,1859.056640625,0,0.0,0.0,^RUT,1min,yfinance
2025-04-21 09:40:00-04:00,1859.1646728515625,1859.275634765625,1859.002197265625,1859.1729736328125,0,0.0,0.0,^RUT,1min,yfinance
2025-04-21 09:41:00-04:00,1859.1790771484375,1859.294677734375,1858.912109375,1859.0789794921875,0,0.0,0.0,^RUT,1min,yfinance
2025-04-21 09:42:00-04:00,1859.11865234375,1859.1734619140625,1858.60546875,1858.60546875,0,0.0,0.0,^RUT,1min,yfinance
2025-04-21 09:43:00-04:00,1858.6466064453125,1858.6466064453125,1857.6143798828125,1857.623046875,0,0.0,0.0,^RUT,1min,yfinance
2025-04-21 09:44:00-04:00,1857.609375,1857.609375,1857.264892578125,1857.424560546875,0,0.0,0.0,^RUT,1min,yfinance
2025-04-21 09:45:00-04:00,1857.4176025390625,1857.4481201171875,1857.1173095703125,1857.281005859375,0,0.0,0.0,^RUT,1min,yfinance
2025-04-21 09:46:00-04:00,1857.2322998046875,1857.2322998046875,1856.983642578125,1857.2081298828125,0,0.0,0.0,^RUT,1min,yfinance
2025-04-21 09:47:00-04:00,1857.1920166015625,1857.27392578125,1857.0244140625,1857.2672119140625,0,0.0,0.0,^RUT,1min,yfinance
2025-04-21 09:48:00-04:00,1857.4149169921875,1858.207763671875,1857.4149169921875,1858.207763671875,0,0.0,0.0,^RUT,1min,yfinance
2025-04-21 09:49:00-04:00,1858.2069091796875,1858.3212890625,1858.116943359375,1858.3212890625,0,0.0,0.0,^RUT,1min,yfinance
2025-04-21 09:50:00-04:00,1858.3016357421875,1858.557373046875,1858.3016357421875,1858.311767578125,0,0.0,0.0,^RUT,1min,yfinance
2025-04-21 09:51:00-04:00,1858.28857421875,1858.3551025390625,1858.0799560546875,1858.107421875,0,0.0,0.0,^RUT,1min,yfinance
2025-04-21 09:52:00-04:00,1858.0885009765625,1858.0885009765625,1857.254638671875,1857.254638671875,0,0.0,0.0,^RUT,1min,yfinance
2025-04-21 09:53:00-04:00,1857.2750244140625,1857.443115234375,1857.2584228515625,1857.404052734375,0,0.0,0.0,^RUT,1min,yfinance
2025-04-21 09:54:00-04:00,1857.301025390625,1857.324951171875,1857.239501953125,1857.3067626953125,0,0.0,0.0,^RUT,1min,yfinance
2025-04-21 09:55:00-04:00,1857.3099365234375,1857.3099365234375,1857.064697265625,1857.1708984375,0,0.0,0.0,^RUT,1min,yfinance
