Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,timeframe,data_source
2025-04-21 07:20:00-05:00,4.397000312805176,4.39900016784668,4.397000312805176,4.39900016784668,0,0.0,0.0,^TNX,1min,yfinance
2025-04-21 07:21:00-05:00,4.39900016784668,4.39900016784668,4.394999980926514,4.394999980926514,0,0.0,0.0,^TNX,1min,yfinance
2025-04-21 07:22:00-05:00,4.394999980926514,4.394999980926514,4.39300012588501,4.39300012588501,0,0.0,0.0,^TNX,1min,yfinance
2025-04-21 07:23:00-05:00,4.39300012588501,4.39300012588501,4.39300012588501,4.39300012588501,0,0.0,0.0,^TNX,1min,yfinance
2025-04-21 07:24:00-05:00,4.39300012588501,4.39300012588501,4.390999794006348,4.390999794006348,0,0.0,0.0,^TNX,1min,yfinance
2025-04-21 07:25:00-05:00,4.390999794006348,4.390999794006348,4.390999794006348,4.390999794006348,0,0.0,0.0,^TNX,1min,yfinance
2025-04-21 07:26:00-05:00,4.390999794006348,4.39300012588501,4.388999938964844,4.39300012588501,0,0.0,0.0,^TNX,1min,yfinance
2025-04-21 07:27:00-05:00,4.39300012588501,4.397000312805176,4.39300012588501,4.397000312805176,0,0.0,0.0,^TNX,1min,yfinance
2025-04-21 07:28:00-05:00,4.397000312805176,4.397000312805176,4.397000312805176,4.397000312805176,0,0.0,0.0,^TNX,1min,yfinance
2025-04-21 07:29:00-05:00,4.397000312805176,4.39900016784668,4.397000312805176,4.39900016784668,0,0.0,0.0,^TNX,1min,yfinance
2025-04-21 07:30:00-05:00,4.39900016784668,4.39900016784668,4.39900016784668,4.39900016784668,0,0.0,0.0,^TNX,1min,yfinance
2025-04-21 07:31:00-05:00,4.401000022888184,4.401000022888184,4.401000022888184,4.401000022888184,0,0.0,0.0,^TNX,1min,yfinance
2025-04-21 07:32:00-05:00,4.401000022888184,4.401000022888184,4.394999980926514,4.394999980926514,0,0.0,0.0,^TNX,1min,yfinance
2025-04-21 07:33:00-05:00,4.397000312805176,4.397000312805176,4.394999980926514,4.394999980926514,0,0.0,0.0,^TNX,1min,yfinance
2025-04-21 07:34:00-05:00,4.394999980926514,4.394999980926514,4.394999980926514,4.394999980926514,0,0.0,0.0,^TNX,1min,yfinance
2025-04-21 07:35:00-05:00,4.394999980926514,4.394999980926514,4.39300012588501,4.39300012588501,0,0.0,0.0,^TNX,1min,yfinance
2025-04-21 07:36:00-05:00,4.39300012588501,4.39300012588501,4.390999794006348,4.39300012588501,0,0.0,0.0,^TNX,1min,yfinance
2025-04-21 07:37:00-05:00,4.394999980926514,4.394999980926514,4.39300012588501,4.394999980926514,0,0.0,0.0,^TNX,1min,yfinance
2025-04-21 07:38:00-05:00,4.394999980926514,4.397000312805176,4.394999980926514,4.397000312805176,0,0.0,0.0,^TNX,1min,yfinance
2025-04-21 07:39:00-05:00,4.397000312805176,4.397000312805176,4.394999980926514,4.397000312805176,0,0.0,0.0,^TNX,1min,yfinance
2025-04-21 07:40:00-05:00,4.397000312805176,4.397000312805176,4.394999980926514,4.394999980926514,0,0.0,0.0,^TNX,1min,yfinance
2025-04-21 07:41:00-05:00,4.394999980926514,4.397000312805176,4.394999980926514,4.397000312805176,0,0.0,0.0,^TNX,1min,yfinance
2025-04-21 07:42:00-05:00,4.394999980926514,4.39900016784668,4.394999980926514,4.39900016784668,0,0.0,0.0,^TNX,1min,yfinance
2025-04-21 07:43:00-05:00,4.39900016784668,4.39900016784668,4.397000312805176,4.39900016784668,0,0.0,0.0,^TNX,1min,yfinance
